"filename", "language", "Python", "pip requirements", "Ini", "JSON with Comments", "JSON", "TypeScript", "TypeScript JSX", "XML", "CSS", "HTML", "Markdown", "comment", "blank", "total"
"/Users/Durval/Developer/Whatsapp/frontend/src/components/chat/index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 94, 0, 0, 0, 0, 0, 10, 104
"/Users/Durval/Developer/Whatsapp/frontend/src/components/chat/styles.ts", "TypeScript", 0, 0, 0, 0, 0, 109, 0, 0, 0, 0, 0, 0, 22, 131
"/Users/Durval/Developer/Whatsapp/frontend/src/contexts/AuthContext.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 28, 0, 0, 0, 0, 0, 8, 36
"/Users/Durval/Developer/Whatsapp/frontend/src/contexts/ChatsContext.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 91, 0, 0, 0, 0, 1, 17, 109
"/Users/Durval/Developer/Whatsapp/frontend/src/lib/axios.ts", "TypeScript", 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 2, 6
"/Users/Durval/Developer/Whatsapp/frontend/src/main.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 1, 2, 11
"/Users/Durval/Developer/Whatsapp/frontend/src/pages/Whatsapp/index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 2, 15
"/Users/Durval/Developer/Whatsapp/frontend/src/pages/auth/Login/index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 45, 0, 0, 0, 0, 0, 10, 55
"/Users/Durval/Developer/Whatsapp/frontend/src/pages/auth/Login/styles.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/Durval/Developer/Whatsapp/frontend/src/pages/auth/Signup/index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 82, 0, 0, 0, 0, 2, 13, 97
"/Users/Durval/Developer/Whatsapp/frontend/src/pages/auth/Signup/styles.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/Durval/Developer/Whatsapp/frontend/src/routes.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 27, 0, 0, 0, 0, 1, 4, 32
"/Users/Durval/Developer/Whatsapp/frontend/src/vite-env.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"/Users/Durval/Developer/Whatsapp/frontend/tsconfig.json", "JSON with Comments", 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 2, 3, 26
"/Users/Durval/Developer/Whatsapp/frontend/tsconfig.node.json", "JSON", 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 1, 11
"/Users/Durval/Developer/Whatsapp/frontend/vite.config.ts", "TypeScript", 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 1, 2, 8
"Total", "-", 312, 22, 38, 24, 12190, 323, 598, 22, 14, 13, 19, 120, 313, 14008
